Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2021,12/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
12/30/2021,12/31/2021,TST* OPEN CITY - DC,Food & Drink,Sale,-39.65,
12/29/2021,12/30/2021,PAPER SOURCE- GEORGETOWN,Shopping,Sale,-43.23,
12/28/2021,12/30/2021,KRUBA RESTAURANT,Food & Drink,Sale,-42.49,
12/27/2021,12/28/2021,TST* MAH ZE DAHR AT GATSB,Food & Drink,Sale,-5.67,
12/23/2021,12/24/2021,TO BOOT NEW YORK,Shopping,Sale,-450.00,
12/22/2021,12/22/2021,Offer:CVS,Fees & Adjustments,Adjustment,1.14,
12/20/2021,12/21/2021,TST* JENI'S SPLENDID ICE,Food & Drink,Sale,-13.00,
12/17/2021,12/19/2021,2654 AMC GEORGETOWN 14,Entertainment,Sale,-22.66,
12/18/2021,12/19/2021,TST* ROCKLANDS BBQ DC,Food & Drink,Sale,-45.88,
12/18/2021,12/19/2021,CVS/PHARMACY #07102,Health & Wellness,Sale,-11.43,
12/17/2021,12/17/2021,AUTOMATIC PAYMENT - THANK,,Payment,433.18,
12/16/2021,12/17/2021,SQ *PHILZ COFFEE,Food & Drink,Sale,-5.13,
12/14/2021,12/15/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-107.90,
12/07/2021,12/07/2021,Offer:CVS,Fees & Adjustments,Adjustment,0.53,
12/05/2021,12/06/2021,TST* LA FAMOSA,Food & Drink,Sale,-67.75,
12/03/2021,12/03/2021,Offer:CVS,Fees & Adjustments,Adjustment,0.50,
12/02/2021,12/03/2021,TST* LA FAMOSA,Food & Drink,Sale,-62.20,
12/02/2021,12/03/2021,CVS/PHARMACY #11231,Health & Wellness,Sale,-5.29,
12/01/2021,12/02/2021,TST* JENI'S SPLENDID ICE,Food & Drink,Sale,-26.00,
11/30/2021,12/01/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
11/29/2021,11/30/2021,GLERUPS.COM,Shopping,Sale,-145.00,
11/28/2021,11/29/2021,CVS/PHARMACY #07102,Health & Wellness,Sale,-4.99,
11/27/2021,11/28/2021,WHITE HOUSE HSTRCL ASSOC,Personal,Sale,-26.45,
11/25/2021,11/28/2021,MAIALINO MARE,Food & Drink,Sale,-252.10,
11/22/2021,11/23/2021,TST* ROCKLANDS BBQ DC,Food & Drink,Sale,-52.83,
11/21/2021,11/22/2021,2654 AMC GEORGETOWN 14,Entertainment,Sale,-7.14,
11/18/2021,11/19/2021,TST* GATSBY,Food & Drink,Sale,-87.10,
11/17/2021,11/17/2021,AUTOMATIC PAYMENT - THANK,,Payment,862.17,
11/12/2021,11/14/2021,EMMY SQUARED - BOWER,Food & Drink,Sale,-27.60,
11/13/2021,11/14/2021,DUE SOUTH,Food & Drink,Sale,-36.70,
11/13/2021,11/14/2021,TST* HATOBA,Food & Drink,Sale,-35.00,
11/11/2021,11/12/2021,TST* HATOBA,Food & Drink,Sale,-21.88,
11/08/2021,11/08/2021,UBER   EATS,Food & Drink,Sale,-42.77,
11/08/2021,11/08/2021,UBER   EATS,Food & Drink,Sale,-7.69,
11/01/2021,11/01/2021,OTTO TURKISH STREET,Food & Drink,Sale,-45.77,
10/30/2021,10/31/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
10/23/2021,10/25/2021,EMMY SQUARED - BOWER,Food & Drink,Sale,-15.40,
10/19/2021,10/20/2021,TST* JENI'S SPLENDID ICE,Food & Drink,Sale,-12.00,
10/19/2021,10/20/2021,COSTCO WHSE #0233,Shopping,Sale,-89.30,
10/17/2021,10/18/2021,ROSE AVE BAKERY,Food & Drink,Sale,-38.82,
10/17/2021,10/18/2021,TST* LA FAMOSA,Food & Drink,Sale,-45.70,
10/17/2021,10/18/2021,RED HORSE TAVERN LLC,Food & Drink,Sale,-52.57,
10/17/2021,10/17/2021,AUTOMATIC PAYMENT - THANK,,Payment,914.09,
10/11/2021,10/17/2021,THE BRIG,Professional Services,Sale,-18.63,
10/11/2021,10/12/2021,TST* HOOK &amp; VINE KITCHEN,Food & Drink,Sale,-78.48,
10/10/2021,10/11/2021,TST* BAMMY S,Food & Drink,Sale,-48.03,
10/09/2021,10/10/2021,TST* OSTERIA MORINI - DC,Food & Drink,Sale,-132.00,
10/04/2021,10/05/2021,TST* FOODE,Food & Drink,Sale,-45.96,
10/03/2021,10/04/2021,MCDONALD'S F33193,Food & Drink,Sale,-4.45,
10/03/2021,10/03/2021,TST* GATSBY,Food & Drink,Sale,-84.50,
09/30/2021,10/01/2021,ABC*VIDA FITNESS,Health & Wellness,Sale,-114.30,
09/27/2021,09/28/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-39.00,
09/23/2021,09/26/2021,The Brig,Professional Services,Sale,-16.01,
09/24/2021,09/26/2021,UBER   TRIP,Travel,Sale,-12.77,
09/25/2021,09/26/2021,UBER   TRIP,Travel,Sale,-11.45,
09/22/2021,09/22/2021,Offer:Fandango,Fees & Adjustments,Adjustment,1.83,
09/20/2021,09/21/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-18.20,
09/18/2021,09/20/2021,NICKS RIVERSIDE GRILL,Food & Drink,Sale,-78.98,
09/19/2021,09/20/2021,ROSE AVE BAKERY,Food & Drink,Sale,-40.48,
09/18/2021,09/19/2021,FANDANGO,Entertainment,Sale,-36.58,
09/18/2021,09/19/2021,FANDANGO,Entertainment,Sale,-4.58,
09/18/2021,09/19/2021,FANDANGO,Entertainment,Sale,-4.58,
09/16/2021,09/17/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,110.24,
09/15/2021,09/16/2021,TST* LA FAMOSA,Food & Drink,Sale,-29.38,
09/14/2021,09/16/2021,The Brig,Professional Services,Sale,-18.63,
09/13/2021,09/14/2021,TST* PENTHOUSE POOL AND L,Food & Drink,Sale,-19.50,
09/12/2021,09/12/2021,TST* GATSBY,Food & Drink,Sale,-83.40,
