Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/30/2020,12/31/2020,MCDONALD'S F31570,Food & Drink,Sale,-3.59,
12/29/2020,12/31/2020,WOODY'S DEWEY BEACH,Food & Drink,Sale,-64.80,
12/30/2020,12/31/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-25.00,
12/29/2020,12/31/2020,STARBUCKS STORE 00720,Food & Drink,Sale,-9.57,
12/29/2020,12/30/2020,MERRIFIELD GC,Home,Sale,-69.84,
12/29/2020,12/30/2020,Amazon Tips*BM9MU7OT3,Shopping,Sale,-5.00,
12/29/2020,12/30/2020,GOOD FORTUNE SUPERMARKET,Groceries,Sale,-35.09,
12/29/2020,12/30/2020,THE UPS STORE 7199,Personal,Sale,-1.27,
12/29/2020,12/30/2020,WAWA 589      00005892,Gas,Sale,-7.82,
12/27/2020,12/28/2020,FRAGERS,Home,Sale,-10.59,
12/27/2020,12/28/2020,Amazon.com*J39IW4Q33,Groceries,Sale,-68.92,
12/26/2020,12/28/2020,Virtue Feed and Grain,Food & Drink,Sale,-41.97,
12/24/2020,12/24/2020,Payment Thank You-Mobile,,Payment,570.76,
12/21/2020,12/22/2020,TIMOTHY A PRICE MD PC,Health & Wellness,Sale,-50.00,
12/21/2020,12/22/2020,UBER   TRIP,Travel,Sale,-12.52,
12/21/2020,12/22/2020,UBER   TRIP,Travel,Sale,-12.02,
12/21/2020,12/22/2020,UBER   TRIP,Travel,Sale,-1.00,
12/21/2020,12/22/2020,TST* EAT BRGZ,Food & Drink,Sale,-21.45,
12/20/2020,12/21/2020,GINKGO GARDENS,Home,Sale,-10.59,
12/19/2020,12/20/2020,HARRIS TEETER 383,Groceries,Sale,-105.00,
12/19/2020,12/20/2020,BIRD APP,Travel,Sale,-10.00,
12/18/2020,12/20/2020,HARRIS TEETER 383,Groceries,Sale,-64.83,
12/18/2020,12/20/2020,HARRIS TEETER 383,Groceries,Sale,-59.78,
12/16/2020,12/17/2020,APPLE.COM/BILL,Shopping,Sale,-1.05,
12/15/2020,12/16/2020,ABC*VIDA FITNESS,Health & Wellness,Sale,-79.00,
12/13/2020,12/15/2020,WHOLEFDS SCP #10563,Groceries,Sale,-49.82,
12/12/2020,12/14/2020,HARRIS TEETER 383,Groceries,Sale,-23.44,
12/12/2020,12/13/2020,CAVIAR*ABC PONY,Food & Drink,Sale,-41.01,
12/12/2020,12/13/2020,Payment Thank You - Web,,Payment,927.07,
12/12/2020,12/13/2020,BB* LA FAMOSA,Food & Drink,Sale,-29.25,
12/10/2020,12/11/2020,BRUSSEL'S BONSAI,Shopping,Sale,-104.00,
12/09/2020,12/10/2020,COSTCO BY INSTACART,Groceries,Sale,-79.43,
12/09/2020,12/10/2020,COSTCO BY INSTACART,Groceries,Sale,-0.86,
12/10/2020,12/10/2020,CARHARTT,Shopping,Sale,-21.99,
12/10/2020,12/10/2020,CARHARTT,Shopping,Sale,-21.19,
12/08/2020,12/09/2020,APPLE.COM/BILL,Shopping,Sale,-1.37,
12/07/2020,12/09/2020,KUHL CLOTHING,Shopping,Sale,-38.53,
12/07/2020,12/08/2020,AMZN Mktp US*T496E2MV3,Shopping,Sale,-286.19,
12/06/2020,12/07/2020,HARRIS TEETER 383,Groceries,Sale,-75.00,
