Transaction Date,Post Date,Description,Category,Type,Amount,Memo
02/04/2022,02/04/2022,AUTOMATIC PAYMENT - THANK,,Payment,316.80,
01/04/2022,01/04/2022,AUTOMATIC PAYMENT - THANK,,Payment,714.24,
12/27/2021,12/28/2021,PAYPAL *FANDANGO,Entertainment,Sale,-40.60,
12/24/2021,12/24/2021,PAYPAL *NIKE.COM,Shopping,Return,26.50,
12/24/2021,12/24/2021,PAYPAL *CRATE CS GC,Professional Services,Sale,-150.00,
12/21/2021,12/21/2021,PAYPAL *NIKE.COM,Shopping,Sale,-26.50,
12/19/2021,12/20/2021,PAYPAL *RAGBONEINDU,Shopping,Return,213.86,
12/20/2021,12/20/2021,PAYPAL *NIKE.COM,Shopping,Sale,-44.05,
12/18/2021,12/19/2021,PAYPAL *JCREWGROUPI,Shopping,Return,55.65,
12/18/2021,12/19/2021,PAYPAL *JCREWGROUPI,Shopping,Return,56.92,
12/11/2021,12/12/2021,PAYPAL *JCREWGROUPI,Shopping,Sale,-55.65,
12/03/2021,12/05/2021,PAYPAL *BANANAREPUB,Shopping,Sale,-253.45,
12/04/2021,12/05/2021,PAYPAL *JCREWGROUPI,Shopping,Sale,-56.92,
12/02/2021,12/03/2021,PAYPAL *RAGBONEINDU,Shopping,Sale,-213.86,
11/28/2021,11/29/2021,PAYPAL *UBER EATS,Food & Drink,Sale,-41.84,
11/28/2021,11/29/2021,PAYPAL *MRDAVISCLOT,Shopping,Sale,-83.00,
11/28/2021,11/29/2021,PAYPAL *UBER EATS,Food & Drink,Sale,-8.52,
11/26/2021,11/28/2021,PAYPAL *UBER,Travel,Sale,-27.65,
11/27/2021,11/28/2021,PAYPAL *HUCKBERRYIN,Shopping,Sale,-58.29,
11/24/2021,11/25/2021,PAYPAL *CHARLIEBYMZ,Shopping,Sale,-157.50,
11/20/2021,11/21/2021,PAYPAL *FANDANGO,Entertainment,Sale,-26.24,
11/14/2021,11/14/2021,PAYPAL *UBER EATS,Food & Drink,Sale,-121.40,
11/14/2021,11/14/2021,PAYPAL *UBER EATS,Food & Drink,Sale,-18.50,
11/04/2021,11/04/2021,AUTOMATIC PAYMENT - THANK,,Payment,380.32,
10/04/2021,10/04/2021,AUTOMATIC PAYMENT - THANK,,Payment,49.96,
09/29/2021,09/30/2021,WHOLEFDS SCP #10563,Groceries,Sale,-37.47,
09/29/2021,09/29/2021,Spotify USA,Bills & Utilities,Sale,-10.59,
09/27/2021,09/29/2021,HARRIS TEETER 383,Groceries,Sale,-24.04,
09/28/2021,09/29/2021,HARRIS TEETER 383,Groceries,Sale,-44.00,
09/26/2021,09/27/2021,HARRIS TEETER 383,Groceries,Sale,-61.87,
09/25/2021,09/26/2021,HARRIS TEETER 383,Groceries,Sale,-8.03,
09/19/2021,09/20/2021,HARRIS TEETER 383,Groceries,Sale,-11.75,
09/17/2021,09/19/2021,HARRIS TEETER 383,Groceries,Sale,-47.30,
09/16/2021,09/17/2021,REDEMPTION CREDIT,Fees & Adjustments,Adjustment,100.00,
09/14/2021,09/15/2021,COSTCO BY INSTACART,Groceries,Sale,-80.82,
09/14/2021,09/15/2021,COSTCO BY INSTACART,Groceries,Sale,-0.65,
09/12/2021,09/13/2021,HARRIS TEETER 383,Groceries,Sale,-30.93,
09/10/2021,09/12/2021,WHOLEFDS SCP #10563,Groceries,Sale,-22.87,
09/05/2021,09/06/2021,HARRIS TEETER 383,Groceries,Sale,-34.86,
08/27/2021,08/29/2021,HARRIS TEETER 383,Groceries,Sale,-75.27,
08/29/2021,08/29/2021,Spotify USA,Bills & Utilities,Sale,-10.59,
08/22/2021,08/23/2021,WHOLEFDS LAN#10624,Groceries,Sale,-29.24,
08/20/2021,08/20/2021,Payment Thank You-Mobile,,Payment,911.76,
08/16/2021,08/16/2021,LYFT   *2 RIDES 08-14,Travel,Sale,-30.72,
08/15/2021,08/16/2021,WHOLEFDS OTN 10185,Groceries,Sale,-98.56,
