Transaction Date,Year,Category,Category Description,Merchant,Amount
2021-04-17,2021,Expenses,Food & Drink,UBER   EATS,5.4
2021-04-17,2021,Expenses,Groceries,HARRIS TEETER 383,57.84
2021-04-18,2021,Expenses,Groceries,WHOLEFDS SCP #10563,15.17
2021-04-23,2021,Expenses,Food & Drink,STARBUCKS STORE 10898,9.57
2021-04-24,2021,Expenses,Food & Drink,TST* FIRESTONE S CULINARY,40.86
2021-04-24,2021,Expenses,Shopping,COSTCO WHSE #1120,81.68
2021-04-25,2021,Expenses,Shopping,COSTCO WHSE #1120,1.65
2021-04-27,2021,Expenses,Food & Drink,BB* LA FAMOSA,71.55
2021-04-29,2021,Expenses,Food & Drink,KRUBA RESTAURANT,36.55
2021-04-30,2021,Expenses,Groceries,HARRIS TEETER 383,9.99
2021-05-02,2021,Expenses,Food & Drink,SQ *DISTRICT DOUGHNUT WHA,5.13
2021-05-02,2021,Expenses,Shopping,Amazon.com*2L0UZ9NL1,25.51
2021-05-02,2021,Expenses,Shopping,SP * DANDYFARMERBONSAI,53.41
2021-05-03,2021,Expenses,Food & Drink,CHIPOTLE ONLINE,25.63
2021-05-03,2021,Expenses,Shopping,AMZN Mktp US*L08E56UH3,13.76
2021-05-03,2021,Expenses,Shopping,Amazon.com*K90FW6QG3,8.79
2021-05-05,2021,Expenses,Food & Drink,2WSHGTN NTNLS 15625221,10.01
2021-05-05,2021,Expenses,Travel,AMERICAN AIR0012172596767,226.79
2021-05-13,2021,Expenses,Food & Drink,KRUBA RESTAURANT,30.29
2021-05-13,2021,Expenses,Food & Drink,TST* OSTERIA MORINI - DC,136.0
2021-05-16,2021,Expenses,Groceries,HARRIS TEETER 383,111.02
2021-05-16,2021,Expenses,Groceries,WHOLEFDS SCP #10563,74.75
2021-05-18,2021,Expenses,Entertainment,TICKETS.COM I 03,121.0
2021-05-21,2021,Expenses,Food & Drink,2WSHGTN NTNLS 15625221,7.04
2021-05-21,2021,Expenses,Shopping,APPLE.COM/BILL,1.37
2021-05-23,2021,Expenses,Food & Drink,SUMMER HOUSE NORTH BETHE,58.19
2021-05-23,2021,Expenses,Groceries,HARRIS TEETER 383,54.17
2021-05-27,2021,Expenses,Food & Drink,ABC Pony,47.76
2021-05-28,2021,Expenses,Food & Drink,KRUBA RESTAURANT,55.47
2021-05-29,2021,Expenses,Food & Drink,THE POINT,188.57
2021-05-29,2021,Expenses,Groceries,HARRIS TEETER 383,20.4
2021-05-30,2021,Expenses,Food & Drink,KRISPY KREME 0023,1.42
2021-05-30,2021,Expenses,Groceries,WHOLEFDS SCP #10563,30.28
2021-05-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-05-30,2021,Expenses,Travel,ERAC TOLL 766685166,21.95
2021-06-02,2021,Expenses,Food & Drink,ABC Pony,35.88
2021-06-04,2021,Expenses,Food & Drink,KRUBA RESTAURANT,30.29
2021-06-04,2021,Expenses,Travel,ERAC TOLL 766685166,6.0
2021-06-04,2021,Expenses,Travel,LYFT   *1 RIDE 06-02,10.99
2021-06-05,2021,Expenses,Groceries,HARRIS TEETER 383,74.94
2021-06-06,2021,Expenses,Food & Drink,TST* JENI S SPLENDID ICE,17.5
2021-06-06,2021,Expenses,Groceries,HARRIS TEETER 383,1.83
2021-06-06,2021,Expenses,Groceries,WHOLEFDS SCP #10563,91.64
2021-06-08,2021,Expenses,Groceries,HARRIS TEETER 383,18.93
2021-06-12,2021,Expenses,Food & Drink,STARBUCKS STORE 10898,5.78
2021-06-12,2021,Expenses,Food & Drink,TST* OSTERIA MORINI - DC,110.2
2021-06-12,2021,Expenses,Travel,UBER   TRIP,19.97
2021-06-13,2021,Expenses,Groceries,SQ *REVOLUTION DOUGHNUTS,32.56
2021-06-13,2021,Expenses,Travel,LAZ PARKING 580336-FLASH,3.0
2021-06-14,2021,Expenses,Groceries,KROGER 695,87.31
2021-06-16,2021,Expenses,Shopping,CITIZEN SUPPLY,30.49
2021-06-18,2021,Expenses,Travel,UBER   TRIP,19.55
2021-06-19,2021,Expenses,Groceries,HARRIS TEETER 383,41.12
2021-06-20,2021,Expenses,Groceries,MOMS OF IVY CITY,109.99
2021-06-21,2021,Expenses,Food & Drink,IN *THE DISTRICT FISHWIFE,18.13
2021-06-21,2021,Expenses,Groceries,HARRIS TEETER 383,40.51
2021-06-21,2021,Expenses,Shopping,SP * CHARLIE BY MZ,165.0
2021-06-21,2021,Expenses,Shopping,SP * JJ MALIBU.COM,40.95
2021-06-22,2021,Expenses,Food & Drink,UBER   EATS,34.62
2021-06-24,2021,Expenses,Groceries,HARRIS TEETER 383,57.77
2021-06-25,2021,Expenses,Groceries,HARRIS TEETER 383,5.38
2021-06-26,2021,Expenses,Groceries,WHOLEFDS OTN 10185,40.89
2021-06-26,2021,Expenses,Shopping,THE UPS STORE 7199,0.53
2021-06-27,2021,Expenses,Shopping,Patagonia Direct Inc.,52.46
2021-06-27,2021,Expenses,Shopping,SP * MARINE LAYER,164.3
2021-06-28,2021,Expenses,Groceries,HARRIS TEETER 383,84.61
2021-06-28,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,79.0
2021-06-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-07-01,2021,Expenses,Shopping,NIKE.COM AP,147.84
2021-07-02,2021,Expenses,Food & Drink,KRUBA RESTAURANT,54.27
2021-07-02,2021,Expenses,Shopping,SQ *LEVAIN BAKERY,9.9
2021-07-03,2021,Expenses,Groceries,MOMS OF IVY CITY,84.83
2021-07-05,2021,Expenses,Food & Drink,TST* OSTERIA MORINI - DC,84.4
2021-07-05,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,49.4
2021-07-05,2021,Expenses,Groceries,HARRIS TEETER 383,4.23
2021-07-05,2021,Expenses,Shopping,THE UPS STORE 7199,0.27
2021-07-06,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,54.6
2021-07-07,2021,Expenses,Shopping,NIKE.COM AP,-33.36
2021-07-08,2021,Expenses,Shopping,THE UPS STORE 7199,0.53
2021-07-09,2021,Expenses,Groceries,HARRIS TEETER 383,4.35
2021-07-09,2021,Expenses,Groceries,HARRIS TEETER 383,3.38
2021-07-09,2021,Expenses,Groceries,HARRIS TEETER 383,13.77
2021-07-10,2021,Expenses,Groceries,CITARELLA - GREENWI,47.25
2021-07-11,2021,Expenses,Food & Drink,TST* FOURTH WALL,65.52
2021-07-11,2021,Expenses,Shopping,SP * MARINE LAYER,-116.6
2021-07-12,2021,Expenses,Food & Drink,BLAZE,52.2
2021-07-12,2021,Expenses,Food & Drink,SQ *THE GRIND HOUSE BANGO,12.73
2021-07-12,2021,Expenses,Food & Drink,THE PORTHOLE RESTAURANT,84.2
2021-07-12,2021,Expenses,Food & Drink,TST* TATTE BAKERY - EMERS,14.02
2021-07-12,2021,Expenses,Groceries,HANNAFORD #8173,119.8
2021-07-13,2021,Expenses,Food & Drink,NAUTILUS SEAFOOD &amp;GRILL,96.78
2021-07-15,2021,Expenses,Food & Drink,MCDONALD'S F3065,18.87
2021-07-15,2021,Expenses,Shopping,SP * CHARLIE BY MZ,-165.0
2021-07-16,2021,Expenses,Food & Drink,HIGH TIDE,77.8
2021-07-16,2021,Expenses,Food & Drink,SQ *NEST COFFEE,17.7
2021-07-16,2021,Expenses,Shopping,SP * JJ MALIBU.COM,-36.0
2021-07-17,2021,Expenses,Food & Drink,DARBYS RESTAURANT,56.91
2021-07-18,2021,Expenses,Entertainment,FH* BALMY DAYS CRUISES,21.0
2021-07-18,2021,Expenses,Entertainment,FH* BALMY DAYS CRUISES,44.52
2021-07-18,2021,Expenses,Entertainment,FH* BALMY DAYS CRUISES,21.0
2021-07-18,2021,Expenses,Food & Drink,TIMBER KITCHEN AND BAR,79.45
2021-07-18,2021,Expenses,Food & Drink,TST* HARVEST MOON DELI -,26.9
2021-07-19,2021,Expenses,Food & Drink,DUCK FAT,11.37
2021-07-19,2021,Expenses,Travel,CASCOBAY ISLAND TIX,15.4
2021-07-20,2021,Expenses,Food & Drink,Central Provisions,180.12
2021-07-20,2021,Expenses,Food & Drink,MCDONALD'S F10686,5.81
2021-07-21,2021,Expenses,Entertainment,ACADIA NATIONAL PARK,30.0
2021-07-21,2021,Expenses,Food & Drink,NIELSON WINES,132.98
2021-07-21,2021,Expenses,Food & Drink,SQ *THE PICKLED WRINKLE,65.9
2021-07-21,2021,Expenses,Food & Drink,WICKED BREW CAFE,11.18
2021-07-22,2021,Expenses,Food & Drink,NAUTILUS SEAFOOD &amp;GRILL,88.2
2021-07-23,2021,Expenses,Food & Drink,TRACI'S DINER,26.97
2021-07-24,2021,Expenses,Food & Drink,TST* BLACK LAMB,85.46
2021-07-24,2021,Expenses,Food & Drink,TST* HOLY DONUT - SCARBOR,18.61
2021-07-24,2021,Expenses,Groceries,CITARELLA - GREENWI,22.6
2021-07-24,2021,Expenses,Shopping,APPLE.COM/BILL,1.37
2021-07-25,2021,Expenses,Groceries,WHOLEFDS OTN 10185,111.59
2021-07-29,2021,Expenses,Groceries,HARRIS TEETER 383,72.81
2021-07-29,2021,Expenses,Streaming,Spotify USA,10.59
2021-07-30,2021,Expenses,Food & Drink,DUE SOUTH,56.0
2021-07-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-07-30,2021,Expenses,Shopping,CONTE`S BIKE SHOP NAVY YA,74.19
2021-07-30,2021,Expenses,Shopping,SQ *STEADFAST SUPPLY,13.25
2021-07-31,2021,Expenses,Entertainment,FANDANGO,24.98
2021-07-31,2021,Expenses,Entertainment,TM *D.C. UNITED,159.25
2021-07-31,2021,Expenses,Food & Drink,BANGKOK JOES,42.48
2021-08-01,2021,Expenses,Food & Drink,TST* ROCKLANDS BBQ DC,39.21
2021-08-01,2021,Expenses,Food & Drink,TST* SUSHI HACHI,28.16
2021-08-01,2021,Expenses,Food & Drink,TST* THE MAJESTIC,110.24
2021-08-01,2021,Expenses,Groceries,HARRIS TEETER 383,37.38
2021-08-04,2021,Expenses,Food & Drink,The Brig,16.01
2021-08-05,2021,Expenses,Shopping,Amazon Prime*2P7HK6S81,126.14
2021-08-06,2021,Expenses,Shopping,NATIVE,38.16
2021-08-07,2021,Expenses,Food & Drink,SUSHI HACH* SUSHI HACH,56.83
2021-08-07,2021,Expenses,Groceries,WHOLEFDS SCP #10563,43.82
2021-08-08,2021,Expenses,Food & Drink,TST* CALL YOUR MOTHER - C,12.98
2021-08-08,2021,Expenses,Food & Drink,TST* JENI S SPLENDID ICE,8.97
2021-08-09,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,19.2
2021-08-10,2021,Expenses,Groceries,HARRIS TEETER 383,35.13
2021-08-13,2021,Expenses,Food & Drink,BETHESDA CRAB HOUSE,264.41
2021-08-14,2021,Expenses,Groceries,HARRIS TEETER 383,35.08
2021-08-15,2021,Expenses,Food & Drink,TST* THE DABNEY,290.9
2021-08-15,2021,Expenses,Groceries,WHOLEFDS OTN 10185,98.56
2021-08-15,2021,Expenses,Shopping,FRAGERS,8.47
2021-08-16,2021,Expenses,Food & Drink,TST* LAPV ARISDINER DOCK,54.0
2021-08-16,2021,Expenses,Travel,LYFT   *2 RIDES 08-14,30.72
2021-08-22,2021,Expenses,Groceries,WHOLEFDS LAN#10624,29.24
2021-08-23,2021,Expenses,Groceries,COSTCO BY INSTACART,1.21
2021-08-23,2021,Expenses,Groceries,COSTCO BY INSTACART,54.0
2021-08-25,2021,Expenses,Food & Drink,The Brig,21.26
2021-08-27,2021,Expenses,Groceries,HARRIS TEETER 383,75.27
2021-08-29,2021,Expenses,Shopping,COSTCO WHSE #0233,186.75
2021-08-29,2021,Expenses,Streaming,Spotify USA,10.59
2021-08-30,2021,Expenses,Food & Drink,TST* EAT BRGZ,36.4
2021-08-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-09-03,2021,Expenses,Shopping,APPLE.COM/BILL,1.37
2021-09-05,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,19.2
2021-09-05,2021,Expenses,Groceries,HARRIS TEETER 383,34.86
2021-09-05,2021,Expenses,Groceries,SQ *HOG HAVEN FARM LLC,10.35
2021-09-05,2021,Expenses,Shopping,COSTCO WHSE #1120,176.47
2021-09-10,2021,Expenses,Groceries,WHOLEFDS SCP #10563,22.87
2021-09-10,2021,Expenses,Shopping,ELBOWGREASE,42.34
2021-09-10,2021,Expenses,Shopping,SP * PACERS RUNNING,33.9
2021-09-11,2021,Expenses,Food & Drink,TST* MAH ZE DAHR AT GATSB,12.5
2021-09-12,2021,Expenses,Food & Drink,TST* GATSBY,83.4
2021-09-12,2021,Expenses,Groceries,HARRIS TEETER 383,30.93
2021-09-13,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,19.5
2021-09-14,2021,Expenses,Food & Drink,The Brig,18.63
2021-09-14,2021,Expenses,Groceries,COSTCO BY INSTACART,80.82
2021-09-14,2021,Expenses,Groceries,COSTCO BY INSTACART,0.65
2021-09-15,2021,Expenses,Food & Drink,TST* LA FAMOSA,29.38
2021-09-17,2021,Expenses,Groceries,HARRIS TEETER 383,47.3
2021-09-18,2021,Expenses,Entertainment,FANDANGO,36.58
2021-09-18,2021,Expenses,Entertainment,FANDANGO,4.58
2021-09-18,2021,Expenses,Entertainment,FANDANGO,4.58
2021-09-18,2021,Expenses,Food & Drink,NICKS RIVERSIDE GRILL,78.98
2021-09-19,2021,Expenses,Food & Drink,ROSE AVE BAKERY,40.48
2021-09-19,2021,Expenses,Groceries,HARRIS TEETER 383,11.75
2021-09-20,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,18.2
2021-09-23,2021,Expenses,Food & Drink,The Brig,16.01
2021-09-24,2021,Expenses,Travel,UBER   TRIP,12.77
2021-09-25,2021,Expenses,Groceries,HARRIS TEETER 383,8.03
2021-09-25,2021,Expenses,Travel,UBER   TRIP,11.45
2021-09-26,2021,Expenses,Groceries,HARRIS TEETER 383,61.87
2021-09-27,2021,Expenses,Food & Drink,TST* PENTHOUSE POOL AND L,39.0
2021-09-27,2021,Expenses,Groceries,HARRIS TEETER 383,24.04
2021-09-28,2021,Expenses,Groceries,HARRIS TEETER 383,44.0
2021-09-29,2021,Expenses,Groceries,WHOLEFDS SCP #10563,37.47
2021-09-29,2021,Expenses,Streaming,Spotify USA,10.59
2021-09-30,2021,Expenses,Groceries,WHOLEFDS SCP #10563 WASHINGTON          DC,22.08
2021-09-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-09-30,2021,Expenses,Shopping,APPLE.COM/BILL      INTERNET CHARGE     CA,1.37
2021-09-30,2021,Expenses,Shopping,Amazon Marketplace,57.72
2021-10-03,2021,Expenses,Food & Drink,MCDONALD'S F33193,4.45
2021-10-03,2021,Expenses,Food & Drink,TST* GATSBY,84.5
2021-10-04,2021,Expenses,Food & Drink,TST* FOODE,45.96
2021-10-04,2021,Expenses,Shopping,Amazon Marketplace,22.26
2021-10-04,2021,Expenses,Streaming,DISNEY PLUS ECOM    BURBANK             CA,8.47
2021-10-05,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,35.82
2021-10-07,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,58.02
2021-10-08,2021,Expenses,Groceries,AplPay COSTCO BY INSSAN FRANCISCO       CA,0.86
2021-10-08,2021,Expenses,Groceries,AplPay COSTCO BY INSSAN FRANCISCO       CA,44.95
2021-10-08,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,13.96
2021-10-08,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,25.48
2021-10-09,2021,Expenses,Food & Drink,TST* OSTERIA MORINI - DC,132.0
2021-10-09,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,6.88
2021-10-10,2021,Expenses,Food & Drink,TST* BAMMY S,48.03
2021-10-10,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,99.13
2021-10-11,2021,Expenses,Food & Drink,THE BRIG,18.63
2021-10-11,2021,Expenses,Food & Drink,TST* HOOK &amp; VINE KITCHEN,78.48
2021-10-11,2021,Expenses,Gas,ROYAL FARMS #190 190CHURCHTON           MD,3.49
2021-10-11,2021,Expenses,Shopping,AMAZON.COM*2741W8TX2AMZN.COM/BILL       WA,29.0
2021-10-11,2021,Expenses,Shopping,Amazon Marketplace,49.52
2021-10-12,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,55.49
2021-10-15,2021,Expenses,Shopping,APPLE.COM/BILL      INTERNET CHARGE     CA,1.37
2021-10-17,2021,Expenses,Food & Drink,RED HORSE TAVERN LLC,52.57
2021-10-17,2021,Expenses,Food & Drink,ROSE AVE BAKERY,38.82
2021-10-17,2021,Expenses,Food & Drink,TST* LA FAMOSA,45.7
2021-10-17,2021,Expenses,Shopping,AMAZON.COM*2784W2722AMZN.COM/BILL       WA,211.97
2021-10-18,2021,Expenses,Groceries,AplPay COSTCO BY INSSAN FRANCISCO       CA,35.94
2021-10-18,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,20.06
2021-10-18,2021,Expenses,Streaming,NETFLIX.COM         866-579-7172        CA,19.07
2021-10-19,2021,Expenses,Food & Drink,TST* JENI'S SPLENDID ICE,12.0
2021-10-19,2021,Expenses,Shopping,COSTCO WHSE #0233,89.3
2021-10-19,2021,Expenses,Travel,UBER,13.12
2021-10-20,2021,Expenses,Travel,UBER,16.84
2021-10-23,2021,Expenses,Food & Drink,EMMY SQUARED - BOWER,15.4
2021-10-23,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,38.02
2021-10-23,2021,Expenses,Travel,UBER,11.24
2021-10-23,2021,Expenses,Travel,UBER,13.52
2021-10-26,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,35.68
2021-10-26,2021,Expenses,Shopping,APPLE.COM/BILL      INTERNET CHARGE     CA,7.41
2021-10-26,2021,Expenses,Streaming,HLU*HULU 14078098980HULU.COM/BILL       CA,13.77
2021-10-27,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,42.5
2021-10-29,2021,Expenses,Streaming,SPOTIFY USA         NEW YORK,10.59
2021-10-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-10-31,2021,Expenses,Gas,CHERRYDALE LIBERTY 6ARLINGTON           VA,65.15
2021-11-01,2021,Expenses,Food & Drink,OTTO TURKISH STREET,45.77
2021-11-01,2021,Expenses,Groceries,AplPay COSTCO BY INSSAN FRANCISCO       CA,49.51
2021-11-01,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,75.69
2021-11-04,2021,Expenses,Streaming,DISNEY PLUS         BURBANK             CA,8.47
2021-11-05,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,23.22
2021-11-06,2021,Expenses,Food & Drink,AplPay TST* LA FAMOSWASHINGTON          DC,56.7
2021-11-06,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,6.47
2021-11-06,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,26.93
2021-11-06,2021,Expenses,Travel,LYFT.COM/CHARGES 000SAN FRANCISCO       CA,13.7
2021-11-08,2021,Expenses,Food & Drink,UBER   EATS,42.77
2021-11-08,2021,Expenses,Food & Drink,UBER   EATS,7.69
2021-11-08,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,45.89
2021-11-11,2021,Expenses,Food & Drink,TST* HATOBA,21.88
2021-11-11,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,11.54
2021-11-11,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,15.47
2021-11-12,2021,Expenses,Food & Drink,EMMY SQUARED - BOWER,27.6
2021-11-12,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,20.79
2021-11-13,2021,Expenses,Food & Drink,DUE SOUTH,36.7
2021-11-13,2021,Expenses,Food & Drink,TST* HATOBA,35.0
2021-11-14,2021,Expenses,Shopping,Amazon Marketplace,31.61
2021-11-14,2021,Expenses,Shopping,PAYPAL *UBER EATS,121.4
2021-11-14,2021,Expenses,Shopping,PAYPAL *UBER EATS,18.5
2021-11-14,2021,Expenses,Shopping,PHILIPS ESHOP US. PHUNITED STATES,31.75
2021-11-15,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,47.29
2021-11-18,2021,Expenses,Food & Drink,TST* GATSBY,87.1
2021-11-18,2021,Expenses,Streaming,NETFLIX.COM         866-579-7172        CA,19.07
2021-11-20,2021,Expenses,Food & Drink,AplPay TST* JENI'S SWASHINGTON          DC,24.02
2021-11-20,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,46.49
2021-11-20,2021,Expenses,Shopping,PAYPAL *FANDANGO,26.24
2021-11-21,2021,Expenses,Entertainment,2654 AMC GEORGETOWN 14,7.14
2021-11-21,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,57.81
2021-11-21,2021,Expenses,Travel,COLONIAL PARKING    WASHINGTON          DC,10.0
2021-11-22,2021,Expenses,Food & Drink,TST* ROCKLANDS BBQ DC,52.83
2021-11-24,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,58.69
2021-11-24,2021,Expenses,Shopping,PAYPAL *CHARLIEBYMZ,157.5
2021-11-25,2021,Expenses,Food & Drink,MAIALINO MARE,252.1
2021-11-25,2021,Expenses,Shopping,AMAZON.COM*S52FH7A43AMZN.COM/BILL       WA,10.61
2021-11-26,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,61.14
2021-11-26,2021,Expenses,Shopping,PAYPAL *UBER,27.65
2021-11-26,2021,Expenses,Streaming,HLU*HULU 14078098608HULU.COM/BILL       CA,13.77
2021-11-27,2021,Expenses,Shopping,PAYPAL *HUCKBERRYIN,58.29
2021-11-27,2021,Expenses,Shopping,WHITE HOUSE HSTRCL ASSOC,26.45
2021-11-28,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,30.02
2021-11-28,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,18.99
2021-11-28,2021,Expenses,Health & Wellness,CVS/PHARMACY #07102,4.99
2021-11-28,2021,Expenses,Shopping,Amazon Marketplace,27.83
2021-11-28,2021,Expenses,Shopping,PAYPAL *MRDAVISCLOT,83.0
2021-11-28,2021,Expenses,Shopping,PAYPAL *UBER EATS,41.84
2021-11-28,2021,Expenses,Shopping,PAYPAL *UBER EATS,8.52
2021-11-28,2021,Expenses,Streaming,SPOTIFY             NEW YORK            NY,10.59
2021-11-29,2021,Expenses,Shopping,GLERUPS.COM,145.0
2021-11-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
2021-12-01,2021,Expenses,Food & Drink,TST* JENI'S SPLENDID ICE,26.0
2021-12-02,2021,Expenses,Food & Drink,TST* LA FAMOSA,62.2
2021-12-02,2021,Expenses,Health & Wellness,CVS/PHARMACY #11231,5.29
2021-12-02,2021,Expenses,Shopping,PAYPAL *RAGBONEINDU,213.86
2021-12-03,2021,Expenses,Shopping,PAYPAL *BANANAREPUB,253.45
2021-12-04,2021,Expenses,Shopping,Amazon Marketplace,338.13
2021-12-04,2021,Expenses,Shopping,PAYPAL *JCREWGROUPI,56.92
2021-12-04,2021,Expenses,Streaming,DISNEY PLUS         BURBANK             CA,8.47
2021-12-05,2021,Expenses,Food & Drink,TST* LA FAMOSA,67.75
2021-12-05,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,55.37
2021-12-07,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,17.33
2021-12-09,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,14.3
2021-12-09,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,29.71
2021-12-10,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,14.42
2021-12-11,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,18.8
2021-12-11,2021,Expenses,Shopping,PAYPAL *JCREWGROUPI,55.65
2021-12-14,2021,Expenses,Food & Drink,TST* OSTERIA MORINI - DC,107.9
2021-12-14,2021,Expenses,Groceries,AplPay COSTCO BY INSSAN FRANCISCO       CA,130.0
2021-12-15,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,50.27
2021-12-16,2021,Expenses,Food & Drink,SQ *PHILZ COFFEE,5.13
2021-12-17,2021,Expenses,Entertainment,2654 AMC GEORGETOWN 14,22.66
2021-12-17,2021,Expenses,Travel,COLONIAL PARKING    WASHINGTON          DC,10.0
2021-12-18,2021,Expenses,Food & Drink,TST* ROCKLANDS BBQ DC,45.88
2021-12-18,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,10.11
2021-12-18,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,26.21
2021-12-18,2021,Expenses,Health & Wellness,CVS/PHARMACY #07102,11.43
2021-12-18,2021,Expenses,Shopping,PAYPAL *JCREWGROUPI,-55.65
2021-12-18,2021,Expenses,Shopping,PAYPAL *JCREWGROUPI,-56.92
2021-12-18,2021,Expenses,Streaming,NETFLIX.COM         866-579-7172        CA,19.07
2021-12-19,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,69.11
2021-12-19,2021,Expenses,Shopping,Amazon Marketplace,183.26
2021-12-19,2021,Expenses,Shopping,PAYPAL *RAGBONEINDU,-213.86
2021-12-20,2021,Expenses,Food & Drink,TST* JENI'S SPLENDID ICE,13.0
2021-12-20,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,2.79
2021-12-20,2021,Expenses,Shopping,PAYPAL *NIKE.COM,44.05
2021-12-21,2021,Expenses,Shopping,PAYPAL *NIKE.COM,26.5
2021-12-23,2021,Expenses,Shopping,TO BOOT NEW YORK,450.0
2021-12-24,2021,Expenses,Groceries,AplPay WHOLEFDS SCP WASHINGTON          DC,46.2
2021-12-24,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,59.45
2021-12-24,2021,Expenses,Shopping,PAYPAL *CRATE CS GC,150.0
2021-12-24,2021,Expenses,Shopping,PAYPAL *NIKE.COM,-26.5
2021-12-26,2021,Expenses,Streaming,HLU*HULU 14078098663HULU.COM/BILL       CA,13.77
2021-12-27,2021,Expenses,Food & Drink,TST* MAH ZE DAHR AT GATSB,5.67
2021-12-27,2021,Expenses,Groceries,HARRIS TEETER       WASHINGTON          DC,19.57
2021-12-27,2021,Expenses,Shopping,Amazon Marketplace,19.07
2021-12-27,2021,Expenses,Shopping,PAYPAL *FANDANGO,40.6
2021-12-28,2021,Expenses,Food & Drink,KRUBA RESTAURANT,42.49
2021-12-28,2021,Expenses,Streaming,SPOTIFY             NEW YORK            NY,10.59
2021-12-29,2021,Expenses,Shopping,PAPER SOURCE- GEORGETOWN,43.23
2021-12-29,2021,Expenses,Travel,COLONIAL PARKING    WASHINGTON          DC,10.0
2021-12-30,2021,Expenses,Food & Drink,TST* OPEN CITY - DC,39.65
2021-12-30,2021,Expenses,Gas,BP#9313669SEVEN CORNFALLS CHURCH        VA,67.34
2021-12-30,2021,Expenses,Health & Wellness,ABC*VIDA FITNESS,114.3
